shot_distance,shot_angle,under_pressure,shot_first_time,minute,shot_body_part_Left Foot,shot_body_part_Other,shot_body_part_Right Foot,shot_technique_Diving Header,shot_technique_Half Volley,shot_technique_Lob,shot_technique_Normal,shot_technique_Overhead Kick,shot_technique_Volley
13.524792050157377,21.929128212022093,0,0,52,0,0,1,0,0,0,1,0,0
12.66214831693264,27.018967420062975,0,1,60,0,0,1,0,1,0,0,0,0
11.941942890501531,36.94006740916472,0,0,43,0,0,0,0,0,0,1,0,0
8.374365647617738,50.47217273035082,0,0,70,0,0,0,0,0,0,1,0,0
13.154847015454038,29.70557760230759,0,1,26,0,0,1,0,0,0,1,0,0
10.863240768757723,38.38201326787311,0,1,91,0,0,1,0,0,0,0,0,1
33.103474137920934,10.082061284608567,0,0,36,1,0,0,0,0,0,1,0,0
13.0,14.65135995763915,0,0,55,0,0,1,0,0,0,1,0,0
25.55621255194125,13.826146684814129,0,0,83,0,0,1,0,0,0,1,0,0
7.864477096412707,53.33902004930903,0,0,85,0,0,0,0,0,0,1,0,0
16.11521020650987,16.632356068987022,0,0,40,1,0,0,0,0,0,1,0,0
15.498709623707388,20.538400703676444,0,0,12,1,0,0,0,0,0,1,0,0
29.25269218379738,14.1177719778609,0,0,72,0,0,1,0,0,0,1,0,0
27.821214926742503,13.128909103557785,0,0,17,0,0,1,0,1,0,0,0,0
25.0569351677335,11.887714584853027,0,0,5,0,0,1,0,0,0,1,0,0
4.130375285612671,88.1490123644887,0,1,70,1,0,0,0,0,0,1,0,0
20.468756679388218,21.26155189498145,0,0,75,0,0,1,0,0,0,1,0,0
21.341040274550817,20.92209312581216,0,0,30,1,0,0,0,0,0,1,0,0
19.1049731745428,17.79231436664986,0,0,101,1,0,0,0,0,0,1,0,0
16.513025161974415,26.78961394738516,1,0,58,0,0,1,0,0,0,1,0,0
33.391166496545154,13.547345524364488,0,0,36,0,0,1,0,0,0,1,0,0
24.6916990099912,15.227023592704356,0,0,58,0,0,1,0,0,0,1,0,0
14.425671561490642,22.812317112361043,0,0,67,1,0,0,0,0,0,1,0,0
28.46049894151541,15.218477024435815,0,0,35,0,0,1,0,0,0,1,0,0
12.445079348883231,26.88101807228712,0,1,22,0,0,1,0,1,0,0,0,0
17.608236708995022,24.94912107286917,0,0,13,0,0,1,0,0,0,1,0,0
11.022250223978768,39.834941991295686,0,1,36,0,0,1,0,1,0,0,0,0
12.773801313626254,34.40810970830714,0,1,82,0,0,1,0,0,0,1,0,0
21.28685040112792,15.642684464043318,1,0,69,0,0,1,0,0,0,1,0,0
29.20616373302047,15.59399270841038,0,1,54,0,0,1,0,0,0,0,0,1
12.093386622447824,36.391854198620194,1,0,48,0,0,0,0,0,0,1,0,0
7.589466384404112,54.16234762811992,1,0,20,0,0,0,0,0,0,1,0,0
11.868024266911494,36.147253614698826,0,0,21,1,0,0,0,1,0,0,0,0
19.102355875650524,23.208499858582147,0,0,81,1,0,0,0,0,0,1,0,0
11.840608092492554,31.19385947892527,0,1,72,0,0,1,0,0,0,1,0,0
10.820813278122856,31.685861798603074,1,0,19,0,0,0,0,0,0,1,0,0
12.615070352558485,34.93879480224442,0,0,83,1,0,0,0,0,0,0,0,1
9.176055797563563,45.25092940319973,0,1,18,0,0,1,0,0,0,0,0,1
16.44688420339853,23.299047879999712,0,1,6,0,0,1,0,0,0,1,0,0
25.700194551792794,17.045239144449376,0,0,95,0,0,1,0,0,0,1,0,0
9.033825324855467,25.999906276176524,0,0,50,0,0,0,0,0,0,1,0,0
12.482387592123557,18.654736404000253,0,1,3,0,0,1,0,0,0,1,0,0
15.811388300841896,17.10272972963711,1,0,18,1,0,0,0,1,0,0,0,0
13.697079980784228,10.562598381665117,1,0,39,0,0,1,0,0,0,1,0,0
27.33386178350948,16.16994730637488,0,0,85,0,0,1,0,0,0,1,0,0
31.296325662927263,14.4795026072823,0,1,28,1,0,0,0,0,0,0,0,1
17.607100840286005,18.64457497343183,0,1,1,1,0,0,0,0,0,0,0,1
11.164676439557033,39.25924186309052,1,0,11,0,0,0,0,0,0,1,0,0
18.42281194606296,9.272602848167828,1,0,73,0,0,1,0,0,0,1,0,0
7.915806970865315,50.597619111537306,0,1,49,1,0,0,0,0,0,0,0,1
28.16025568065745,11.182249691838518,0,0,76,0,0,1,0,0,0,1,0,0
26.943273743181248,10.532798490266485,0,0,27,0,0,1,0,0,0,1,0,0
34.89670471548854,13.006663913108556,0,0,50,0,0,1,0,0,0,1,0,0
11.56633044660233,33.37910971484818,0,1,56,0,0,1,0,0,0,1,0,0
54.32973403211173,8.157096269811651,0,1,40,0,0,1,0,0,1,0,0,0
18.43908891458577,19.06919402084507,0,1,14,1,0,0,0,0,0,1,0,0
27.38558014722347,15.18435224329909,0,0,92,1,0,0,0,0,0,1,0,0
