id,match_id,competition,season_id,minute,player,team,shot_outcome,shot_type,shot_body_part,shot_technique,shot_statsbomb_xg,under_pressure,shot_first_time,x,y,gol,shot_distance,shot_angle
3e856931-076e-4617-8b6d-36412f9cefac,70293,La Liga,25,81,Kléper Laveran Lima Ferreira,Real Madrid,Off T,Open Play,Right Foot,Half Volley,0.019803954,0,0,92.0,52.0,0,30.463092423455635,13.799485644421216
543b262c-58be-48fd-b68b-6eb5479d62de,70293,La Liga,25,82,Daniel Alves da Silva,Barcelona,Saved,Open Play,Right Foot,Normal,0.08971524,0,0,115.0,51.3,0,12.356779515715248,16.311217040056192
c3f9238f-0da6-40c2-82e3-23f00b0b3ad5,70293,La Liga,25,85,Sami Khedira,Real Madrid,Saved,Open Play,Right Foot,Normal,0.14359035,0,0,108.2,28.6,0,16.407315441594946,20.446854379482264
fa03c428-2a0c-4742-bbad-6025b29e75c5,70293,La Liga,25,90,Jesé Rodríguez Ruiz,Real Madrid,Goal,Open Play,Right Foot,Normal,0.15176372,0,0,101.3,45.9,1,19.608671551127582,22.09568449816562
6d17f27f-8eaf-4112-8351-75b6413f307a,70293,La Liga,25,92,Daniel Alves da Silva,Barcelona,Blocked,Open Play,Right Foot,Normal,0.0433299,0,0,105.4,52.5,0,19.220041623263977,18.28842802721874
7c99e8bc-3317-4931-b7a9-8ead7a2289fb,265918,La Liga,25,1,Adriano Correia Claro,Barcelona,Goal,Open Play,Right Foot,Normal,0.009924534,0,0,100.0,20.2,1,28.143205219022228,11.649715702759591
0674d2fe-690a-4283-aaf2-1205cda5d9ae,265918,La Liga,25,3,Iago Falqué Silva,Rayo Vallecano,Saved,Open Play,Right Foot,Normal,0.1536176,0,0,99.0,37.8,0,21.114923632350653,21.347700898474194
f5f3f86e-3437-4481-b9a2-b68df7509d56,265918,La Liga,25,9,Andrés Iniesta Luján,Barcelona,Off T,Open Play,Right Foot,Normal,0.0040760646,0,0,63.0,30.5,0,57.786244037833086,7.813053970352408
ba29b8c7-f1ac-4180-b22e-b44fca640fd1,265918,La Liga,25,13,Lionel Andrés Messi Cuccittini,Barcelona,Post,Open Play,Right Foot,Normal,0.1426737,0,0,109.2,45.6,0,12.165525060596439,33.20657086994443
c5482db3-0590-4e66-8af7-56bfd9597eb6,265918,La Liga,25,17,Pedro Eliezer Rodríguez Ledesma,Barcelona,Post,Open Play,Left Foot,Normal,0.08789293,1,0,113.6,29.2,0,12.553883861180175,19.879075406234023
1f447b4b-7b40-4cc9-bd1d-091ae2e34800,265918,La Liga,25,19,Lionel Andrés Messi Cuccittini,Barcelona,Blocked,Free Kick,Left Foot,Normal,0.0958465,0,0,96.9,36.6,0,23.348875775934047,19.25053717790215
f194965c-d9fa-4f04-ad2c-bc51de505b07,265918,La Liga,25,19,Daniel Alves da Silva,Barcelona,Off T,Open Play,Right Foot,Normal,0.03480521,0,1,96.4,34.2,0,24.30226326908668,18.189303124955305
131d98f1-5dd6-4195-9d3c-776117752a9f,265918,La Liga,25,22,Francesc Fàbregas i Soler,Barcelona,Off T,Open Play,Right Foot,Normal,0.029005645,0,1,91.9,44.8,0,28.50701668010877,15.758092007495927
57b1a79a-e0af-4b2f-b2b9-30e150b7f912,265918,La Liga,25,25,Rubén Rochina Naixes,Rayo Vallecano,Blocked,Open Play,Left Foot,Normal,0.008927005,0,0,97.6,21.9,0,28.79878469658052,12.424793127135835
2465ec70-3d53-4b41-97aa-a6c92ab6dd4e,265918,La Liga,25,26,Iago Falqué Silva,Rayo Vallecano,Saved,Open Play,Left Foot,Normal,0.027924756,0,1,110.6,22.6,0,19.776754030932377,11.335779172756176
f1114246-d48e-4ae0-873e-b28ebfe2d065,265918,La Liga,25,30,Lionel Andrés Messi Cuccittini,Barcelona,Saved,Open Play,Right Foot,Normal,0.09723625,1,0,98.6,45.3,0,22.046541678911915,20.012462438248775
e9572529-f3aa-48ca-91da-08055ff26af4,265918,La Liga,25,34,Gerard Piqué Bernabéu,Barcelona,Blocked,Open Play,Right Foot,Normal,0.0061814436,0,0,89.3,57.9,0,35.53730434346421,11.142823065373094
e9145080-7f5f-4ddd-b705-ee1135810bca,265918,La Liga,25,35,Lionel Andrés Messi Cuccittini,Barcelona,Goal,Open Play,Left Foot,Lob,0.15304357,0,1,99.1,28.7,1,23.759208741033447,16.952865689007158
6e18cb7b-c4ae-4bd5-bc23-1b9ff5dc4657,265918,La Liga,25,48,Joaquín Oscar Larrivey,Rayo Vallecano,Off T,Open Play,Head,Normal,0.10785589,0,0,110.2,36.3,0,10.475208828467334,39.91063200800825
42688db2-bc87-4d6c-ba6d-909b891f0baa,265918,La Liga,25,52,Alexis Alejandro Sánchez Sánchez,Barcelona,Goal,Open Play,Right Foot,Normal,0.2563226,0,0,102.2,46.1,1,18.816216410320113,22.842746531137657
11369096-87fe-433b-97e0-dec1287d08a1,265918,La Liga,25,53,Joaquín Oscar Larrivey,Rayo Vallecano,Saved,Open Play,Left Foot,Normal,0.045929857,0,0,105.6,52.7,0,19.200260414900633,18.090636647568214
6a4c1226-e68c-4854-ac6e-0327073ea828,265918,La Liga,25,55,Pedro Eliezer Rodríguez Ledesma,Barcelona,Goal,Open Play,Right Foot,Normal,0.3838115,0,1,111.1,39.3,1,8.927485648266265,48.182182989608926
344ba76c-82e8-42c9-aa1a-cda8b539c12a,265918,La Liga,25,59,Joaquín Oscar Larrivey,Rayo Vallecano,Saved Off Target,Open Play,Right Foot,Half Volley,0.037292678,0,0,115.0,53.0,0,13.92838827718412,12.665065162584341
88b8d00c-7cc3-4be8-822b-d95c1bb17fc1,265918,La Liga,25,60,Pedro Eliezer Rodríguez Ledesma,Barcelona,Blocked,Open Play,Right Foot,Normal,0.05022478,0,0,108.3,26.9,0,17.5641680702503,17.744672208068486
